labels,cleaned_comments
negative,бляяяя
neutral,uamedia news троещине поймали подростков которые ломали чужие велосипеды
neutral,французский
positive,хех
skip,нар анзаарсан бол дээр үед ойд явган жим байсан газрууд одоо машин зам болсон байгааз
negative,думаю некоторые боятся ссать срать слишком громко думаю всё плохо жизни
neutral,записали ролик минут следующий товарищем романом минут поговорим современном обществе
negative,эта сука сказала будут делать
negative,редизайном делают всё хуже
positive,знаю люблю оба чувствую прекрасно
neutral,вроде местее
neutral,нарушает пдд
neutral,начала собирать вещи переезда заебалась собирать вещи вереезда
negative,удачки обещаю тебе понравится
negative,месте бабушки рыдал котят уродливая шлюха вместо внучки
skip,суккубиха
neutral,окей
neutral,рейтинг года крысы 2020
skip,можеш знайти мвахахаха
negative,пиковару вызывает чувство необоснованной тревоги
neutral,заорала тохиного это брат сзади фотографии смотреть
neutral,две минуту fesты
skip,наес отскакивают
neutral,запустил стрим заходим твич
negative,stopazerbaijaniaggress твой народ понимает всё это время обманут тобою
positive,сладеньких снов всем увидит
skip,хүндээ хүнд хүнд
positive,рисую становится спокойнее
negative,ваша чумачечая гагарина выставила 4150 ошара стоит ипанутые серьёзно срывать сделки ради
neutral,стеню орочимару кота леопольда сих пор кыш кыш отсюдова
neutral,стоп брат сестра вообще
positive,ура
skip,ким сону сказал
neutral,например
negative,смертельно устал полугода бункерах земле привыкает
positive,захотелось мяукнуть
positive,зарядила телефон 100 дабы посмотреть сериал итоге лежишь смотришь
positive,ещё знаешь москва слезам верит заплачешь буду рядом поверь
neutral,каких пор неоднозначно тебе подкатываю написала новый фанфик интересно
skip,гад лов фиил
negative,стоп кристина дева припизднутый нахуй
neutral,сама пара
neutral,окк
positive,просто сравните рисовку аниме манги футамата гений рисовал аниме явно богом
negative,нормально сестры такая большая штука листами вырывала лист моего
neutral,юнги участников bt противоcтоять ведущему
negative,верю
positive,вххаха это мило
neutral,урал
neutral,видела это страглс твит перепутал
positive,обожаю заголовки
neutral,кст переношу мяту
neutral,замужем
neutral,пусть рак символизма
neutral,смотрю эрху вечно шутят смерть эрху понимаю страшно
negative,живу тюмени истерический смех
neutral,давайте поговорим втором опенинге наруто конце киба стоит канкуро это канкибы
neutral,песня неё магнитный камешек груди вроде просто заела гуглить
negative,здравоохранение сокращают взять содержание медведева
negative,наполовину сдох этих
neutral,смотрит пустоту
neutral,гродно
neutral,вроде март
skip,азвзхвхаха
neutral,городом посадке потихому шоб никто видел
positive,это новость это инициатива лишь которая пройдёт переживай
neutral,большой учитель
positive,официально заявляю краш джим даркмэджик
neutral,согласна узнала
neutral,сказал навального
skip,ибануццо
positive,арабы евреями возьмутся руки
neutral,пивасик
neutral,самом деле правда интроверт предпочитаю осторожность
skip,захожу твитер лента ваввжпэвбищмдпэасд намджун пассив арлвааов
neutral,стреслось ссылку плз
negative,просто взяла съебалась последних двух уроков похуй
positive,богиня прекрасная
neutral,называете гостиную евротрешке большая кухня комната раковиной
neutral,друг выдал пластмассовые кегли это аццкие игрушки детстве никто знал ними делать
neutral,знает
neutral,ждём
negative,альбом поделён части две версии сдохну денег две
neutral,российский генерал раскрыл подробности инцидента сирии
negative,крыша едет просто добиваешь ещё
negative,сколько боли твите
negative,похуй шутки зоопарк которую лайкнул страшно
speech,здравствуй маруся спасибо
neutral,хорони раньше времени
positive,майки подходит голос
negative,обычно таких штанах писечка хуюшечки доросли
skip,первое сентябля lol
negative,падаю бездну
neutral,опубликовано фото reyna king
negative,бабская логика
neutral,начала просто активила бадамс
neutral,хихикаю
neutral,это получается перенесли
negative,возможность безлимитного посещения течение месяца адекватную цену karven цены
neutral,прикольно сыра отвыкли
neutral,выбыла пункте
speech,улыбнулась спасибо
neutral,кукла реборн инны богдановой
neutral,смысле велик
neutral,бегу
skip,өөрөө помп
neutral,всё руках продолжить серию
neutral,российский подлетел неизвестных самолетам очереди опознал
negative,олимпиада
skip,ќорла
neutral,видел
positive,очень сильно болела голова норм снова иду смотреть джоджу
positive,люблю английский язык клубромантики
negative,болезни излечить голову туловища отделить
negative,пошто грустно ааа
negative,тролль ботами ещё вякает бан дружно бактерию
positive,бывает людьми запятыми всё отношусь
neutral,пензенская
positive,классно чувствуется клоунская часть
negative,какого хуя мои одноклассники которые пригласили завтра погулять написали одно разницей минуту
neutral,новый альбом
negative,какого хуя
positive,локи люблю сказал тор поцеловал локи
neutral,причине
neutral,просто задумалась
speech,привет
negative,поговорите мной
positive,надеюсь дальше
neutral,поверишь
skip,внизапна
neutral,трудно звездой
skip,сынчоль
neutral,серая салатовой постоянно катаюсь бутырская
neutral,проснулась
neutral,папа лизой хотел назвать
neutral,задали игре написать твит картинкой
skip,триколором носом помахали плющит
neutral,сложные слова понимала дальше логикой додумывала
negative,бля сайте рпг
neutral,это инструментальная версия
neutral,ребёнок реагировать подряд
positive,уените уважайте людей вокруг
negative,жутко холодно борюсь желанием поработать кроватки
neutral,серьезно понимаю почему скз шугаются гневе честно
skip,тэндээсээ гараад буудалд ордог гоё
positive,хэээй делал ещё вкусняхи приносил
negative,брала масло волос итогу говно
neutral,город столица
positive,вау
skip,ашгүй дээ
neutral,хочу рассуждать
positive,мама красивая
skip,соулы
positive,хочу писать сочинение пойду спать всем споки споки люблю целую
positive,голенькие суфлешки лудшие
neutral,должен сделать ещё эфир скоро
negative,эээ дичь орги явно извращенцы жаль это могло выясниться первых этапах
neutral,кого мультика сбежал
positive,одобряю
negative,подруга тяжёлая количество твоей подписоты
negative,раньше джастин нравился обнове
neutral,сидели гадали оно
negative,объяснил непонятные люди гражданке ходят командуют ментами угрожают людям расправой
negative,мед сладкий вообще
negative,бляяяяяяя
skip,10саяд арай өгөхгүй байхаа
skip,чел
positive,балдею
neutral,скину сонную моську первой паре маюсь
positive,настроение гулять корее выслеживать кейпоп мальчиков это
positive,нашла лице одного человека которому могу шептать слова люблю бан чану чудесно
neutral,одно могло подругому
neutral,принцип меньше стране новостей пресс
positive,лучший дуэт отменных хадов считаю
negative,скучаю ване
negative,захуя проснулась
skip,пачки
neutral,это такое волнение внутри
neutral,понятно непонятно какого княжества русские
neutral,смотрели разу
neutral,получается фильме книге ничему удивлюсь главное
negative,зелёных человечков побольше прийти страшное нато съесть белорусов
negative,это пиздец
negative,минусов больницу плюсов больницы минут пешком дома
negative,менч щас вынклсо охуелв
neutral,сама увидела недавно просто
skip,пшшшш
neutral,омские алкогольные заводы оша достанутся фигурантам уголовного дела зерна сибири
negative,зулейха ссыт глаза
negative,ещё пусть путятишна ручку столе покрутит
neutral,области вновь установят блокпосты
neutral,такое чинча
negative,лиз какова хуя
negative,бля
neutral,ещё рождения фсио
neutral,смышлёные матюшко юрий михайлович
neutral,крым объявили начале бронирования отдыха жителей других регионов
negative,лечь гроб тхщщ пишут пишут срочно врачу какие больницы врачи фффф
negative,понимаю многих гормоны заиграли дженерейшенз это значит писать отвратительные хорни твиты
skip,айсбакет карантина всем чатом облились остальное впервые вижу
positive,призрак касайся вечно
positive,уверен
neutral,констатирую факт
skip,лень ахахах ахахах ахахах
skip,омг омг омг омг
skip,вампир vampir art traditionalart artistontwitt furri anthro
neutral,разобралась ваших этих терминах найдётся словарь твиттерских
neutral,гуляйте врача
negative,таких ору похуй
negative,бабы шапки помещении снимают тока мужики свои ушанки рукав суют
neutral,думать тех кому это понравится думать обрадуются ждёт нового контента процесс запустится голове
negative,непонятно вообще сборной
neutral,сразу делаю завтра завтра отправить ебать мозг
negative,причем настолько серьёзно начинаю плакать задыхаюсь хуже
positive,главное выгори
skip,очень стремно скетчить китайцев могу умею практикую
neutral,свитера ощущение бабушек дедушек
skip,хэхэ идээл
neutral,это 2018 года раньше особенно ориджиналов макси начинала писала страниц десять бросала
neutral,знаю сказать
neutral,бабки подъезда начали шептаться пгаститутка пошел
neutral,поспать стоит
positive,ещё улице закончился дождь это значит грядках
skip,любой непонятной ситуации качай прыжок убийцы наебывай торговцев перепродавая накопленное плохищ
neutral,первый читаю понимаю хочу забываю зайти
negative,расстреляли
positive,ань знай очень люблю просто знай
neutral,глубокий взжох
negative,блять могу поверить получили кавер дэй6 сынмина джисона ебаная сосиска
neutral,это начало японском даааа
positive,вкус необычный предупреждаю сразу всей моей семьи понравилась
neutral,любимый эдитор снес свои работы включая секси эдит теторой серотонин сдох
negative,заюш прости опоздала
neutral,пашинян коснулся назначения нового заместителя директора снб
neutral,укуси пчела московскую зону взяли
skip,ненавидел весь хаффлпафф
neutral,делюсь важной информацией происходит климатом планете
neutral,наелась хочу помогите
positive,простите смеююююсььььь
neutral,амонге смайлики ставить
positive,это классно люди
skip,хехе знала
positive,какое красивое описание наших любимых питомцев
neutral,ярославль всё
neutral,российская империя
neutral,ладно рендерим верочку прошлые настройки подойдут
neutral,презики философии мемы
speech,привет
positive,почему смешно удивлена наруто луффи нацу тип личности личность жопная тяга
neutral,достаточно сурово
skip,дарханбат суманчулуун домог боллоо бүр
positive,кааааааааакк теееббяяяя понимаааааю
neutral,саша
neutral,общем слушаю черешню kuji ninja день рождения лето пропаганда kuji podcast soundcloud
negative,вообще сколько жаль беларусов нацеловались мусорами цветами одарили пизда всем всем
positive,ещё люблю пальто
positive,закрыла две банки впервые жизни пока держатся
skip,раки
negative,почему панамки смотрятся норм выгляжу дачник огородник
neutral,фильма посмотрела сегодня прихожу пить чай кухню родители смотрят сиротский бруклин начало интригующее
negative,сентября директор школы руки поотшибает
neutral,маркетологу переборщить креативом бесплатное обучение видеоуроки
neutral,оно давно плавает
positive,йокич тейтум стали лучшими итогам игровой недели нба оба баскетболиста впервые сезоне названы лучшими
neutral,непривычный состав общем
negative,нарышкин клоун
neutral,это разминка
neutral,это слову
negative,сколько эта испуганная тётенька молоть херню объяснит реальность
skip,штетл звучит адам сандлер называет член
positive,эта улыбка
neutral,можете спросить
neutral,наверняка ещё дан балана втихоря подслушивают
neutral,ограничивать сладком это достаточно похудеть спрашиваете специалист
negative,твое поведение зато это делает понимаю
neutral,такого мнения помню точно своего первого впечатления явно это
negative,бля хорошее настроение какого хуя сама испортила
negative,джека жалко думала вместе рoсти
neutral,задумывались могу девочкой мальчиком просто вcем говорю девочка
negative,угу причем стриминговых сервисы пережили вообще тяжело
neutral,тремя считая аудиокниги
positive,круто
positive,почему видела утром аааа красота божечки
neutral,эээ экосистема это оно взаимосвязано оно одно приложение подключено совместно
neutral,нарооооод разбирается матеше
negative,думала друзья примешь любой
neutral,кобейнвоскрес слепила коленке ибо дома
negative,каждом шагу врешь
neutral,мою знаешь
positive,буб
neutral,попробуй просто название
neutral,ладно профессор отправляет спать пойду пожалуй
skip,эточе пиллармены
neutral,жизни либо волк либо волк ауфффффф
negative,сирии насыпают турки самое время спросить хохлов
skip,хотын гудамж талбайд ариутгал халдваргүйжүүлэлт хийж эхэллээ via
negative,сука
neutral,щас завыла
neutral,намджуна скажим рубашке назвать написано nevermind правильно написала надеюсь это намеки
neutral,левша
skip,мажи пишуеш
positive,яяяяя люблю
neutral,отец сын внук
negative,занимать могу кого могу люблю такое
neutral,ахах кстати оригинально вообще плечи однако вчера вечером чёт почему
positive,представляете люблю сильно
skip,танціззірками могилевскую позвали
neutral,одесский пляж окружили забором установили запрещающие проход знаки одеса
negative,нашла такую ебанутую няшка чмо
negative,умею писать
neutral,уверена это персы тетради смерти путаю
negative,ещё надеется выжить трансы дэнсрачи
neutral,расскажи сверхи закончились пожалуйста
skip,есөн ембүүгээ тэврээд есөн эрүүгээ үүрээд эрлэгийн үүдэнд уулзах даа гүнтэн гуай ард аюуш
speech,хочешь могу платить это комплимент сторону моего гарема
neutral,москвич
negative,третий день глаз красный гноем
neutral,игнорирую
skip,тру
neutral,реагировала
negative,твой отец юнги одобрит
neutral,ахуй иду спать
positive,облачно обнимает
neutral,это
positive,доверяю джайро фуго полнареффу
positive,это пиздато
negative,бля доживу
neutral,случилось
skip,рубрика странные шутки моего отца это вадим поёт почуму подпеваешь
positive,ура ура ура
positive,тобою звездопад билета паром танцевали утра неоновым дождём
skip,искать адольфа бросим
positive,твою губы рано утром
positive,всем справишься переиграешл будешь счастлива
neutral,ягодка
neutral,курю шесть утра
neutral,знаю правильно это
positive,вау здорово
positive,некоторые этих комментариев видел вместе кодом которым относятся отлично нему подходят
neutral,связывайтесь бывшими
negative,ненавижу жизнь думаю хуже ненавижу ещё
positive,иди обниматься
negative,бля боялась пошутит ребенок ясно
neutral,романтизация фетишизация книг имеет право существование
neutral,согласна шуга топил слэм данк говорит несколько перечитывал выбрал смертных грехов
negative,врёт путин
speech,хорошего дня
negative,мама любит пельмени
neutral,осталось менее пяти дней
neutral,хэд странный
negative,ужаасссноооо думаю смотрят
neutral,почему важны дни заражении коронавирусом
negative,понравился твой ответ поэтому блокнула срач разводить судить человека одному
negative,одной стороны пиздец страшно идти признавать реальность проблемы стороны это свет ценник тоннеля
skip,хөгшрөөд уймраа болоо хөлчүүрхээд анзаарсангүй хөлжөөд тэссэнгүй
negative,звучит угроза
positive,уву это
positive,обожаю
positive,ладно нравится
negative,вайфай слетел угадайте проебал фильтр
neutral,будем ваниллой соблазнять китайских папиков
negative,пипец
positive,двигай прогресс илон тобой
neutral,это люси
positive,зовут глеб любит очень послушный
negative,придержал хозяйство всякий случай
neutral,лишь
neutral,улицы гремят
positive,серьёзно ещё немного будут криса эванса эванса грудь
skip,кушаю веганское мороженное слезами захлебываюсь
negative,тупая игнорируй
neutral,ломоносовская зелёная линия конец
neutral,сделаю полимерки
negative,долбоёб пытаюсь исправиться
neutral,хогвартсе нормальный год считаю лучшая троица
positive,такие хорошули
neutral,питера
neutral,опубликовано фото
negative,ору пара истории надеюсь будем играть ассасин крид
speech,спокойной ночи снов
negative,ебанутый просто мудак
negative,детстве ненавижу розовый почему мои розовые носочки
negative,понятно вайру смотреть
neutral,жизнь правда это аниме менее
negative,шото ваще хуйня
neutral,купить нормальные фломастеры текстовыделители
negative,сми обстреле военных баз сша ираке погибли человек читать
positive,нужно пивка
neutral,молчу
skip,живели меши муши
neutral,ссыль такое
positive,девочка бомбитта сексуально объективировал
skip,буханощка буханится
skip,ҳуррам
speech,добрый вечер
negative,история перехода состав весьма известный российский политолог заявил
skip,аааа хахахаххсхахахах
skip,куку мапель саидあ
positive,одной животик нравится всем параметрам
neutral,каникулы
negative,идите нахуй умоляю
positive,буду делать историю лбьлю историю
neutral,вил пропадает двое суток связи дэн
positive,лично собиралась духом целый день отрыла старый аккаунт ворвалась кстати посылаю
neutral,думаю буквально несколько часов
neutral,гуакамоле антипасти хумус чечевичный суп веган напитков кофе молоком апфельшорле
positive,понятно
neutral,сотсковой взятой марте обнаружен фуросемид
positive,ахахахаахаххах
neutral,боже храни фандом слепоты
positive,горжусь
neutral,белые репперы тож бывают ещё блэк стар
speech,спасибо
neutral,окай почитал комменты вроде это образ проиграла стрим улыбки окай
negative,остерегайся людей именем понтий пилат кому ноги хотя тридцати четырёх
neutral,телец
negative,ниодного интервью
negative,пиздец прыщи вываливают месячными
neutral,знакомтесь это муж старшенький котёночек макнэша вселенная
negative,никак могу непривычной подушкой часами такими мучаюсь головной боли надежды сон
positive,знаешь люблю
neutral,сакура порой слишком сентиментальна это страшно ино подставит своё женское плечо
negative,забей хуй
neutral,похоже куриные одной фотографии нашёл проверить
positive,первого раза согласны
negative,итак разбил мое сердце делать
neutral,опубликовано фото ювелирный дом эстет
negative,сука
negative,пидрила подпутинская траванут
negative,сразу думаю самое плохое несчастье
skip,проснулась утра устроила соседям веселый подъем блэкпинк
positive,верю
negative,фрик
positive,целом норм точно купит
negative,правда лесбиянка неудачница
neutral,какую хочешь
neutral,красный
positive,могу говорить мильон часов
negative,бля сегодня приготовила собственными корявыми ручками это получилось съедобно пиздец
negative,смогли поиграть постоянно выкидывает
neutral,tale wind отправляйтесь путешествие спешите навстречу приключениям вместе друзьями
skip,опа
neutral,факт
neutral,улице градусов норм
skip,бааать
neutral,просто подумал таких это буду
speech,надеюсь порядке спасибо быстро отпустило
positive,блять ору лучшая сэрой дундук
skip,господи жиза
positive,лайкнул комментарий этим постом капец ностальгия накрыла
negative,поставят чубайса
positive,круто
skip,ммя боюсь ммуржешь котже пуррходить ммя тебе зарежу
positive,обязательно будешь порядке верю пей побольше воды лимоном отдыхай
positive,городе
negative,хочу начать чаще выкладывать свои фото самооценка последнее время селу городу
neutral,это мало
neutral,ванчэны цзян чэн лобной лентой
speech,спасибо новый
neutral,жду
neutral,проверка сложности пароля виде размытии картинки помощи javascript
neutral,монополии
skip,длиннохвостая
neutral,скидывала щас
neutral,собрался
neutral,затем стив сказал iphon
neutral,впервые видишь
negative,проверила словарный диктант насчитала одного ученика около ошибок класс
neutral,думаете насколько важной причина своей воле поставила такие будильники
neutral,именно
neutral,сказала оставить покое оставила
negative,учту всё фейк уверенным
positive,мало ролевиков люка вейдера скайуокерцест основном этих двоих залипаю
speech,разрешите присоединиться благ милая алёнка домашнего уюта лучших друзей
negative,это года назад блять кринж
neutral,второй слева
neutral,факту это твиттер делать нем захочет
positive,самом деле будь дедушка жив жизнь совершенно гораздо счастливее
neutral,вааа
neutral,делайте
neutral,этому научился
skip,сделала
neutral,бункерный
neutral,энергетик взять
skip,сиа
positive,первая правило программиста система работает трогай
neutral,предпочитал сидеть
neutral,baltop 2020 альянс нато поиграл ржавыми мускулами балтике ритм евразии
negative,твиттер ебанвй работает
neutral,главное постучи
neutral,хотела прикоснуться полу студии самим
neutral,кек выше большинства знакомых рядом самой миниатюрной
neutral,прошлый сделал это упомянул компьютер сошел ума медленно посмотрим
neutral,скажи запомнил шутку
negative,настроение слушать грустные песни дружбу плакать
neutral,малыш
positive,очень здорово получается это определенно твоя тема
negative,слишком стар блять иди нахуй
neutral,например почитать мангу
positive,даа обожаю
neutral,резко выставляя ногу
neutral,обоих купит проктор энд гэмбл
positive,трёх концертах самые сумасшедшие позитивные концерты моей жизни
negative,вспомнил своём народе скоро новый год людей денег обмылыш
neutral,сделай коллаж
positive,ссы
neutral,оказывается семья обеим линиям евреи никто признаёт
negative,сначала английский выучи предупреди родителей твоему мужу 1500 лет
neutral,нурлан кушает
neutral,победы кроме личного обогащения
neutral,планируешь краситься яркий цвет
neutral,поддерживаю
positive,тори люблю
negative,просто планировала столько тратить это прям стори май лайф
neutral,окей ладно
skip,воронежу приготовиться
negative,это блять пиздец
neutral,яой своей сути чистом проявлении
speech,дяяяяяя спасиибооо старались
neutral,думала это актрисы
neutral,узнать это сделать
negative,это настолько чудовищно верится
positive,позволь рядом
neutral,держись
neutral,постараюсь покрупнее поэтому вдарить немного твой обзор видел ранее
positive,часов утра самое время лечь спать
negative,недопустимы происходят сплошь рядом дальше безумно надоели призывы кому никуда
positive,молодцы
skip,протестуны впрягутся сафронова слову этодругое
neutral,видимо громко делили
negative,последние дня очень болела десна ибо зуб лез мало встал весы увидел пошел жрать
skip,алдаа байгаа чадлаараа ажиллаж байгаа хүмүүсээ яах гэж ингэж байдаг
skip,нбу сколько цукки знаю сколько куроо
neutral,the light remak свет ремейк неспокойным небом
positive,такие замечательные очень красиво
negative,рак мозга деградация
neutral,продам вторичку этаж 1200000 руб советская гавань арсеньева советс
skip,всем нужен лань чжань лендо календо
positive,очень прилично
skip,времени чонгука поймёшь такое кислород жилось
speech,спасибо
neutral,аккуратнее рулем почему автомобильные новшества провоцируют дтп исследование
positive,мило вышло красотаааааааааааввв
neutral,рпц смертную казнь говорит
positive,сумасшествие первого
negative,кем стала
skip,пацаны жизни лиды цяжка дыхаюць
skip,подыхаю фотки
negative,согласна хрен знает это дерьмо карантин закончится
negative,наезжать своего внешний вид это личное дело
speech,spatial audio передает привет темпест плейстейшин
positive,красотка
skip,ето фассенахт самьім переляканим шписерам
negative,кому принадлежит миллиардный бизнес делают деньги людском страхе видео
neutral,ушел
negative,пойду приготовлю похавать день нихера ела
skip,слово
positive,ура давай давааай
negative,посмотрела выпуск честно ахуе спасибо слайдшоу крупное ебало бузовой
negative,lenta слишком большая грудь испортила жизнь женщины
neutral,погуглила написано кевин
negative,сильно наверное избевают навальнята сэлфи автозаков делают
neutral,ровно записей
negative,думаю это такая старая выглядишь купюры
negative,макдаке пушкинской пожарная тревога норм картохи поел москва
neutral,ладно очень долго вглядываться увидеть соски бибоса
skip,фанфакт бинго
neutral,шутки аллергию жизнь ещё актуальны
positive,какие талантливые управленцы анон
positive,это
negative,россии сегодня комиков погорят пердаки поперечного концерт каждый пиздеть стал смотреть
negative,баля мессаг баду етом
neutral,бегаем
negative,наши мелочились заминировали пол крещатика мало фрицам показалось
neutral,никсы ещё
neutral,дэа
neutral,доброе утро происходит
neutral,второй
neutral,просто момент споти полностью вылетел снова запустил оно появилось
negative,сми сообщили падении ракеты авиабазы районе багдада
negative,спасибо сумасшедшая говорю это отсылка года
positive,кот прилёг мою руку
skip,бляяяять аоаовровоуоуоуово
negative,почему болит правая ягодица
negative,маньяк постоянно пишет сообщения похоже хочет довести
neutral,понимаешь можешь трогать
negative,эта разница фотографиях виминов просто нам всё это
neutral,диэнэй время плюс минус
positive,эта скромность чана заставляет любить говорить самый лучший парень
skip,легла раньше настолько
neutral,хочешь расклею подъезды раскрашу асфальты
neutral,мпня выбор спрашивается
neutral,выкуп демонтаж ресторанное оборудование пекарня цена мытищи
negative,вообще отправлять америку меченого грех воспользоваться оказией отправить мразоту
negative,знакомые депутатки депутаты
neutral,ищу несколько лет помогите
skip,лвжвдддула юхууу вжвжв достаточно
positive,наоборот дикий холод свитере куртке сидели такими условиями русский сдался
positive,чанель люблю чанеля
positive,принцесса
neutral,согласна
neutral,дети животные психология воспитания
speech,новым счастьем
neutral,знает идти
negative,риали страшно читать дальше каждый
neutral,заварю чай
neutral,проблема вторая строчка типа поётся имени другого человека
negative,знаю каков процент заболевших данный час верить глазам ушам несколько
neutral,убери
positive,замечательные какие помидоры красотааа
skip,канпимук бхувакуль
skip,граю сама проти
neutral,общем переписала выкладывать буду вообще вряд кому покажу воть
neutral,почему
skip,тэгж бгаад даалуу нүүедаа
speech,спасибо аааа
negative,скоро отключу уведы играю пальцем нажимаб увед ухожу игры
negative,выпила таблетки помогло
speech,доброй ночи отходите сну прекрасную летнюю ночь желанием сдохнуть
positive,пицца мире вкуснее еды
neutral,согласна
neutral,муд
positive,ура купила кружку которую давно хотела еее
negative,уроды
negative,хочу казань корона уходи
neutral,названы лучших хорроров историю кино
neutral,лана час назад
negative,уйди балкона
neutral,реально бумер разговаривает обито тебе нормально
positive,человеком которого вкус
speech,днем рождения станете председателем правительства россии
neutral,райан шор выступит композитором фильма amp quot любовь гарантирована amp quot gameost
neutral,оно оказывается
positive,крольчата вкусно кушают amp отдыхают это сделало моё утро
neutral,простите вами
negative,щас зареву понимаете
neutral,ариложения антирада которые должны каждого водителя
positive,проснулась ради холзи
skip,монголчууд яагаад лифт дуудахдаа дээшээ доошоо товч хоёуланг зэрэг дардаг
neutral,это лукавого
positive,мое любимое
neutral,достиг высших результатов колизее clash lord битва легенд думаешь сможешь одолеть
neutral,тикток последний копинг который работает
speech,спасибо серёжа
skip,лидия лидия
speech,спасибо старалась
negative,это факультатива идут
neutral,это могу лечь спать котик гуляет балконе нужно пустить домой
speech,мои поздравления мои хорошие здорово тебе прилипает прекрасное
positive,ахаха дякую
neutral,это конце
neutral,жителя лафборо джо бэгли друзья прозвали человеком джунглей джо большой любитель садоводства превра
skip,ахуеть
neutral,10yearsofonedirect
neutral,метро закрыто добраться
neutral,слышно тикают твои часики
positive,хочу уютную квартирку
neutral,назвала плюсы
positive,буквально мое утро поздравили ток мои любимые бабеньки
negative,говорят радоваться жизни каждой мелочи солнцу вкусной еде тэдэ хочется встать уйти добавить пожизненный бан
